"Leading.razor.protein","Gene.names","Protein.names","t1.1","t1.2","t2.1","t2.2","t3.1","t3.2","t4.1","t4.2","t5.1","t5.2","t6.1","t6.2","t7.1","t7.2","t8.1","t8.2"
"Q8K194","Snrnp27","U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein",169414.930423242,127242.831750144,200200.427901094,168447.483767899,130271.368603632,205835.97577066,198006.147598753,171789.453760753,139506.846979006,176832.951792112,198413.265280281,189285.994675247,187640.050842552,193398.104474531,213289.672703325,220859.645427454
"Q8K1A6","Cc2d1a","Coiled-coil and C2 domain-containing protein 1A",1897331.99782267,1756920.18269386,1669515.67372405,1643197.03400734,1599929.23476073,1574706.42404419,1413216.66996263,1396496.32519856,1627964.3160773,1877744.61273129,1662395.8486749,1822022.20144024,1553258.11129557,1547488.44090381,1401009.90151478,1407933.34056013
"Q8K1C0","Angel2","Protein angel homolog 2",183437.706209014,168944.755149554,183978.204010839,154701.425406835,155340.747301809,177276.088292164,199134.684827354,172986.215292187,163925.772266624,174103.906763847,164889.587462623,158820.931163862,165199.871689706,145509.849757368,173944.463152133,164521.113319252
"Q8K1C9","Lrrc41","Leucine-rich repeat-containing protein 41",108623.273934838,106868.843449982,134181.028672304,104785.7634883,109447.954571374,127278.980271679,139130.01368797,108106.06682997,112854.898671827,134420.582400188,121629.918614046,132552.850665921,132074.190767924,111099.847662167,108764.948282741,113246.360074073
"Q8K1E0","Stx5","Syntaxin-5",176277.860188648,221241.670485975,285171.008396396,204160.078664355,222582.319316082,252408.404876486,264289.023860129,258339.676552076,262758.938737542,234925.182025295,223207.576666708,253299.765550727,261551.411658348,260780.258861812,307890.750332712,271790.066500655
"Q8K1E6","Alkbh3","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3",109835.766615671,104216.238462085,109867.908808936,117060.810185377,96511.9890203564,103195.563365968,114015.479500207,81165.2702781496,84489.4875849469,110071.141808193,89338.8194999192,97345.4862541317,63843.5330682989,76602.7434078473,69018.9614288872,79627.1640922009
"Q8K1H1","Tdrd7","Tudor domain-containing protein 7",614535.167894605,592731.482106833,710654.251508489,586516.870500432,641574.670125651,660231.216879524,577877.117579949,563210.26496703,738649.729375397,724691.119680771,622747.982074812,735863.570322405,528558.260889782,645148.329081052,527083.972898564,599061.42771093
"Q8K1H7","Tcp11l2","T-complex protein 11-like protein 2",149237.941740607,123537.743373714,137265.734130507,125989.136939818,120150.505599134,144093.933458472,121315.089248804,111657.737032067,178043.723085894,163299.233157546,157705.422444244,177672.164474806,198247.157183139,221660.098397425,164574.490204562,156036.768601736
"Q8K1I3","Spp2","Secreted phosphoprotein 24",17552.0277969137,20653.2691479643,17106.0264175796,17186.1816741748,21805.7660534095,19829.9296472034,21098.2809762462,21787.2457649166,20937.6991366308,20366.8169088451,22105.6254769688,21290.5375819269,21318.8118084068,22702.5420610516,24952.3948636934,23933.5811130759
"Q8K1I7","Wipf1","WAS/WASL-interacting protein family member 1",28627.9859280015,38736.7040431666,36331.8797759801,37373.8584287993,39846.0063344653,30250.2420522426,29183.5166238381,35470.2129492759,36358.0521824805,36670.2957915748,36439.9970934966,35018.7516598541,25363.1316712005,34730.7999165267,29269.7683566124,33099.3043054001
"Q8K1J5","Sde2","Protein SDE2 homolog",76856.2816854119,102173.99726253,74317.89003583,97765.5946483254,78023.0502705788,72549.2451338564,70578.0670708043,86977.2581213521,62230.5078852221,80647.8482600233,97914.999870659,84084.6126615563,89810.7516578135,83021.2616625552,83135.2397775497,91387.7545712593
"Q8K1J6","Trnt1","CCA tRNA nucleotidyltransferase 1, mitochondrial",671376.404958904,607551.722999306,588397.570845398,619232.502872331,555896.526353332,521784.176954463,559031.547717574,616841.576088751,551138.216038579,556764.673391371,713549.999000267,648741.593788936,632533.783223958,603505.526890677,824541.688488396,570108.182175414
"Q8K1L5","Ppp1r11","Protein phosphatase 1 regulatory subunit 11",40050.4027830431,46691.7036757304,40495.5746283496,48340.5265714107,41853.0937333862,44674.1541281388,50817.7901677158,45821.1470763984,32523.5169486741,37934.7181984929,46045.3788158377,44976.2824720001,50391.9774718594,42620.2819760262,59460.3225660892,37849.5911822843
"Q8K1M6-3","Dnm1l","Dynamin-1-like protein",1351583.44467047,1432658.58677095,1847569.86883417,1895140.33695679,1740225.86835337,1945201.51578949,1598830.23701811,1749686.05133818,2034903.96177927,1728437.80937923,1801570.03991929,2055914.01170723,1687357.85877067,1660585.66062652,1685025.33596527,1624614.78954832
"Q8K1N1","Pnpla8","Calcium-independent phospholipase A2-gamma",6483.9919467449,5887.1051357795,5715.73799166258,3953.82260419572,3532.22894048469,834.467818831165,7438.30079149054,4411.14877457774,4876.09162791225,3237.04412116733,6386.08616754447,5403.69421845482,3178.30378978747,6789.98334506197,703.183816384409,3097.39264496747
"Q8K1N2","Phldb2","Pleckstrin homology-like domain family B member 2",5796584.56935494,5332791.86493609,4726455.15055642,5967918.14798925,5491314.55084983,5243503.36152306,4404467.26305386,4860249.36450811,6124068.95007642,5931967.56502663,5903597.9359823,5934496.01396035,5448654.45986932,5600693.85177775,5400277.49193879,4823806.92565172
"Q8K1N4","Spats2","Spermatogenesis-associated serine-rich protein 2",1379405.12973689,1202205.7046422,1177526.20426432,1330199.78938477,1208049.35706433,1223615.56494487,1050331.31235906,1129738.1418915,1641628.37484878,1401241.422669,1393273.95963352,1333221.61913537,1215559.1820158,1378076.97115963,1249733.9336311,1124164.72630588
"Q8K1R3","Pnpt1","Polyribonucleotide nucleotidyltransferase 1, mitochondrial",2312216.9968753,2002976.3393921,2088906.57848452,2051245.12250336,1994806.96261885,2135347.94674067,2336654.06202083,2055240.68374913,2952140.57240106,2627204.70344829,2537696.41766159,2649542.17349409,2521682.66074211,2638707.15578021,2549778.56424173,2533287.22051709
"Q8K1R7","Nek9","Serine/threonine-protein kinase Nek9",545695.737946074,555621.363775625,607025.588199939,552672.246780848,523181.37849187,545620.579544437,556105.339400731,509728.193253026,560501.363467215,473296.324307631,570350.792705695,552885.449709348,551117.488946201,483778.770174827,552564.592247165,499767.606858223
"Q8K1S3","Unc5b","Netrin receptor UNC5B",217938.111081529,375667.087333914,271600.324651867,228961.33916848,275433.140609759,265821.012307586,317261.330143282,320068.81470971,152068.95897882,178196.400160995,197164.360413177,203439.72261437,232216.532508507,268966.153933384,308040.641043907,270161.92426255
"Q8K1X1","Wdr11","WD repeat-containing protein 11",1344775.02290625,1201881.0744406,1175226.26295514,1065931.07159059,1162714.7719776,1196211.96915331,1225458.77671437,1147724.17550253,1680470.85671503,1420315.15283772,1342896.45663685,1283769.90534281,1331766.4400214,1381153.50860924,1332253.08851957,1343676.55580579
"Q8K1Y2","Prkd3","Serine/threonine-protein kinase D3",45329.440629658,41104.5101342522,41729.34545808,41299.7639530708,40498.8042116085,47087.5283980013,41816.5160664911,32537.9859086449,44745.6158983757,41458.6307107184,46883.237530371,40103.8737010464,31833.0729443042,29324.8679821914,49318.3523392677,32209.0309795926
"Q8K1Z0","Coq9","Ubiquinone biosynthesis protein COQ9, mitochondrial",256352.822416694,211645.670646083,226152.565980728,238385.206120653,206340.734504627,207018.457766439,238826.081321099,210980.974585997,405950.613711872,280384.338839973,248912.141641567,281411.361057403,332203.916572971,322769.290455804,328158.15872262,333435.605733652
"Q8K201","Kct2","Keratinocyte-associated transmembrane protein 2",106078.08883803,117064.339900066,102295.867356889,105118.824548686,100134.824158765,108262.03855903,122361.329340176,118043.058467664,58764.5873963109,75583.0999635744,80816.8046752943,65726.4794479186,80329.584829702,117038.544981518,83891.6969168904,122034.685225268
"Q8K202","Polr1e","DNA-directed RNA polymerase I subunit RPA49",2520034.33765621,2397780.35852896,2114781.630743,2274286.80895049,2083429.52526799,2130557.07056544,1963155.7352028,2015198.4982999,2076890.04191257,2306009.29003318,2100339.48633993,1947149.24581345,1876396.62639606,1868406.78201361,1679251.43756016,1575026.06626871
"Q8K203","Neil3","Endonuclease 8-like 3",14653.9626401931,15416.7532516702,13384.9619295026,9666.5655925352,9720.85830326707,10048.6155020143,6608.42189078538,7617.85108954211,6032.13599829485,9006.14526196191,5994.59409431572,5647.11818538591,3636.49110073295,4667.84076246707,1931.8467931532,4408.74928485364
"Q8K207","","Uncharacterized protein C1orf21 homolog",147186.048411966,197341.198416083,133973.036147124,117976.559694372,163996.558945902,156265.940439174,178645.953686998,200466.190200052,93260.2003349242,112461.779933377,151576.300762092,141508.376233409,197257.778840488,194790.600430096,227543.317472474,229638.61871647
"Q8K211","Slc31a1","High affinity copper uptake protein 1",95980.3518356401,167895.087092148,87925.5590668634,110571.267952443,93604.1140154628,100494.86190473,82550.2375066849,105663.018674393,72557.7699296847,65542.2970783464,86503.4779953991,53490.9257318381,90587.1575506841,115282.269420227,64009.1449512951,94722.2872859709
"Q8K212","Pacs1","Phosphofurin acidic cluster sorting protein 1",803049.679366088,727926.892304771,603284.506585474,656291.574813228,739745.355353534,677976.892494259,593298.42523492,637403.312998305,823255.227383113,793736.767062299,802267.304776078,759879.387528366,767020.569036656,800250.802244498,718037.825552945,677047.015619997
"Q8K214","Scmh1","Polycomb protein SCMH1",90236.1339042898,110318.187146831,108235.651343966,87434.0617263286,104747.169396332,103448.237156687,87112.6336615607,98126.0965198687,86218.1748295787,104786.449484651,108595.109617877,103407.814455932,100597.401861126,115490.062152762,115946.877546431,100586.912916514
"Q8K215","Lyrm4","LYR motif-containing protein 4",270730.972313778,223262.515168965,191198.023576715,247106.093862736,197773.927909431,213053.112404937,247731.124587505,240664.436616706,333015.88603051,308658.194672598,280693.39799042,243813.417335546,275491.455962385,264636.854024655,265379.700673472,246249.4023055
"Q8K221","Arfip2","Arfaptin-2",230720.632347349,252803.559458504,268562.626299737,215602.809524599,204479.44585247,261918.760773324,246075.031467202,246562.951058662,225660.064091548,223975.243061565,249188.566913938,239180.529295407,211493.612222878,225234.228279558,222264.880007774,247298.966688257
"Q8K224","Nat10","N-acetyltransferase 10",3833442.99647917,3336667.27573713,3087737.21769906,2822946.15592837,2846060.29204583,3055300.8291368,2937447.16877059,2933851.97600039,3799742.17542157,3834383.04568141,3243443.723275,3072129.30616817,3252475.13874323,3453069.17197942,2923614.91525787,3037716.3863389
"Q8K245","Uvrag","",1597811.32122537,1636101.98162092,1711149.33466672,1548586.88736763,1632751.09449563,1702408.1148557,1662758.09428766,1548679.06040836,1904533.20455892,1803922.49717812,1685641.12433235,1737871.08531948,1555514.97225833,1786057.51635512,1732948.82298036,1728860.7956984
"Q8K268","Abcf3","ATP-binding cassette sub-family F member 3",272838.276467651,294310.211490942,364796.088199955,279602.498727653,307835.593484623,325174.625574254,264116.599295824,301996.994530057,304383.133339452,284450.84815206,255476.28561365,286081.447723618,242577.884817169,285390.983408715,256165.730290963,279253.790699146
"Q8K274","Fn3krp","Ketosamine-3-kinase",381456.697723293,429691.602463133,431988.80918806,322677.56185495,398281.488135439,351204.379460574,379444.772841401,386830.632067833,447555.625487969,439344.843589573,474206.948351729,447040.164717522,427039.416201631,413296.898536773,383036.594776034,381699.69811863
"Q8K284","Gtf3c1","General transcription factor 3C polypeptide 1",2223313.43124868,1951466.80460397,2004909.54617591,1931186.47407668,1851778.68401812,2073067.51422003,1834560.50647157,1867149.11594236,2094684.2239793,2200509.81270256,2202935.61712242,2126612.79482805,2028259.78586098,2037922.95462553,2090574.84426086,2031050.13318595
"Q8K296","Mtmr3","Myotubularin-related protein 3",142011.399594556,158407.646420514,140753.539442481,179010.552347593,146638.690706385,145066.27479474,159776.141563632,159353.342454474,169462.504176084,146679.137175349,174374.622036345,190622.001668125,197057.207318163,176064.9645752,156802.115779726,169791.691098315
"Q8K297","Colgalt1","Procollagen galactosyltransferase 1",934565.094990515,869506.68520612,908913.57491774,1002952.80492468,1013673.79261814,1004730.59865724,997319.749168226,980569.985792199,1010059.80791535,934220.336743297,957744.476440549,912402.311871227,885921.718255378,900157.64292996,844474.638199801,871890.71864854
"Q8K298","Anln","Actin-binding protein anillin",1776793.36510893,2204196.951488,1739829.10448511,2020352.72276832,1719746.9839178,1373932.89217903,1262174.74216015,1285110.02741981,1152834.41374774,1029406.075996,887732.625353002,922313.388061137,760544.45965007,835120.510179487,616345.795107571,641186.816037114
"Q8K299-2","Scara5","Scavenger receptor class A member 5",1734.88923887323,1575.68452518166,1163.63134912331,1546.2655643689,2587.17427315612,1721.61228941451,2163.21643748954,2757.65583262091,1501.4367314372,1697.25179232834,1613.58471512831,1910.8392826893,2098.77609624189,1255.77023520717,1988.75717013111,2076.37290023533
"Q8K2A1","Gulp1","PTB domain-containing engulfment adapter protein 1",397514.664593033,416383.982678596,361605.146151772,391190.175498298,458382.218041595,413175.108096443,422944.010286597,407162.295510308,468451.91407999,372587.125587554,369381.783133616,311550.543647387,332973.097577672,423084.126004234,397483.514399392,386690.219064485
"Q8K2A7","Ints10","Integrator complex subunit 10",663565.509955318,705391.349071891,903932.200337001,676575.580409646,712408.655446806,875974.408346503,768687.953836281,743412.248316397,738205.682481593,867615.761163863,851021.707236567,810299.680194547,813438.620780009,918345.769273526,843555.46547558,950032.723189469
"Q8K2B0","Leprel4","Synaptonemal complex protein SC65",241922.083019491,263044.945805959,266953.912156929,251291.211543106,228305.155589641,266068.984380628,271760.293599274,257972.972652032,275464.241904849,257714.963716329,308217.630510872,263527.90326947,290772.245409258,247647.312217712,299852.720672806,267427.727204199
"Q8K2B3","Sdha","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",334675.741749175,410626.630523799,300852.610797685,356537.197861568,324792.326800067,314825.535485138,370324.198869614,383539.300667246,432422.811836439,367768.714601449,414793.986679937,402159.149149393,449262.514423513,391883.240712597,466438.100974039,445635.395617768
"Q8K2C6","Sirt5","NAD-dependent protein deacylase sirtuin-5, mitochondrial",70282.5941706545,68058.9407975121,65312.9670001839,57337.3132040251,64558.3287994514,61026.5540712399,63276.3877001434,80501.0458068024,50836.518331302,61776.6507354131,89072.7496798715,70730.6551830718,81956.1120416053,75535.9791649735,100393.712373403,77821.066995361
"Q8K2C7","Os9","Protein OS-9",34681.6467978147,32581.2640670067,23219.9991733545,20034.6669060219,21814.3369099699,23787.208692057,28879.664467323,23641.4007204286,21016.2573756718,16402.9140428853,18041.6235481749,20094.7676629419,23144.1204957154,28327.4628660223,25619.8894612758,26098.382507332
"Q8K2C9","Hacd3","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3",25204.8157411322,37347.5070518401,33394.2670557882,22208.561547489,24215.1185992468,24628.7290874037,27086.211717046,21313.5316118761,21688.9757327302,20884.2480200257,21138.1836698527,19716.4069897302,22004.8526820795,25779.0130928882,25894.2215249475,26707.7007420915
"Q8K2D3","Edc3","Enhancer of mRNA-decapping protein 3",234594.650287376,222280.302445363,246510.381208159,227421.713654144,246694.681821842,241966.9347419,226441.568349175,227106.325796337,171638.689193237,213581.19983887,197315.214164586,207047.902023043,161752.845193664,225222.652611352,156054.165138634,215520.700246129
"Q8K2F8","Lsm14a","Protein LSM14 homolog A",435581.596824091,391185.27133543,366887.016243077,405859.383656004,388321.210959903,393779.042508216,401689.387159537,385090.403800679,595100.989950233,489239.59625371,468208.622562882,433477.161438975,447847.41763302,439284.937835038,405578.614747197,382238.483151669
"Q8K2G4","Bbs7","Bardet-Biedl syndrome 7 protein homolog",123620.422561853,128621.555709678,130421.282081711,140966.626261045,116371.699708374,136793.863748502,118369.72704114,116300.856786854,134990.255716317,152046.180634617,140184.650160209,151521.268381077,124808.325620476,141559.605541095,135775.935761554,142370.673824884
"Q8K2H2","Otud6b","OTU domain-containing protein 6B",330719.521680637,314140.120158817,295326.187098698,262470.919435929,261751.20914523,268790.59107176,267882.520513752,265909.16003192,327618.407226948,321896.032325972,319244.14413215,367770.591114872,294447.330352916,306674.272641793,315184.095686543,280456.338372688
"Q8K2H6","Anapc10","Anaphase-promoting complex subunit 10",385528.434127284,333452.323216403,371748.526680243,383174.191618487,336273.318811031,395137.577710347,323988.1291432,342337.933934129,425911.511178568,365565.386947711,348702.597891055,346657.139950041,379684.04844411,392713.08328737,322800.066769016,330368.254823109
"Q8K2I1","Fntb","Protein farnesyltransferase subunit beta",60374.1003715866,68151.283658479,52379.9148975376,49516.4890556395,47323.372294124,53633.5383683023,58500.4381858079,58179.6500956374,49186.1863328454,49982.5359058347,56564.0927745979,53229.8367835567,65789.6160056096,53206.32543217,62088.4197282908,59790.0379549594
"Q8K2I2","Cchcr1","Coiled-coil alpha-helical rod protein 1",2840.96153642065,3537.06941476778,3501.53891656811,1857.6742876884,2168.3325245404,3143.53361133977,2098.35949128327,1993.2426679809,1869.25980415595,2174.3768817997,2412.82039126755,2730.78082929866,1778.0773288256,1864.91605387207,1887.66109553479,2577.50096849535
"Q8K2I4","Manba","Beta-mannosidase",817623.516373054,789327.068227231,836789.721010491,710922.730814389,774441.030377104,783403.769173372,886490.446244239,824657.973151281,1038020.35988116,934991.777630883,860082.821311588,829586.905852905,942995.746776907,946650.365450717,966895.782507182,1099050.60483634
"Q8K2J0","Plcd3","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",34038.9489369298,25605.1325446657,34433.725939433,23569.0019435236,30089.169270692,40317.0549430439,31543.2285166429,37432.715904542,19894.518799599,19362.4399516346,32930.5249719832,23741.5428291876,27380.4929828427,18143.1520261132,38477.8272739074,28171.1623762076
"Q8K2K6","Agfg1","Arf-GAP domain and FG repeat-containing protein 1",24157.5398589528,24937.4148306034,43981.3384585593,27717.0123297917,25671.4107326168,39153.3798179732,32070.5734914468,26809.2988918733,25086.5688230338,27989.3607910686,26784.7039568058,31541.2040460396,23435.5962079973,27116.9515958468,24414.3513348706,31287.0192101072
"Q8K2L8","Trappc12","Trafficking protein particle complex subunit 12",1024086.28254041,924287.623502552,1041848.47781873,1031545.20680717,1078328.84965592,1004334.69661506,893274.548728945,876784.755599359,1408967.18831433,1112487.52819115,1099959.03781622,1021985.76189327,960049.394379659,1083696.21945201,963780.56057246,1008876.62616162
"Q8K2M0","Mrpl38","39S ribosomal protein L38, mitochondrial",292158.891410595,321294.034211168,342640.16499879,342097.687318723,306856.377831861,321287.001606098,379160.035028788,326444.743455311,402798.641989112,375446.602538862,375088.476994879,383767.048176263,426762.929436447,417611.207006351,366097.1409131,408336.9355235
"Q8K2P1","Lurap1l","Leucine rich adaptor protein 1-like",1637.72280195982,1716.67630802382,3488.81279648063,2114.32665638219,1882.29195999218,3398.558260897,1725.69569672002,1804.81961411779,2893.56180467404,1735.20492444538,2035.07961238488,1715.85211830392,1195.88074332439,1935.88818352337,2345.54916382534,3049.48556017065
"Q8K2Q0","Commd9","COMM domain-containing protein 9",209545.458839512,215997.834728751,229093.492794693,196033.523516591,201385.931745593,217489.270102083,188896.383118,190973.311510562,173036.193577416,224074.882820815,200351.880589044,206392.996634378,201460.07573565,218114.05374307,211294.102319048,230148.629556703
"Q8K2Q7","Brox","BRO1 domain-containing protein BROX",239607.355043265,306634.041966446,270010.222459687,214493.728703753,249382.63429851,244341.302168812,259197.09446763,269672.099345972,176451.447047038,180794.604068027,233251.805665874,229476.403208316,233075.862864102,258827.102058507,285842.387804102,247471.931225658
"Q8K2Q9","Kiaa1598","Shootin-1",5872.87035653177,7948.58067759414,8255.40758799421,7221.10252795078,7566.37100855499,6849.96731123792,8915.98458050228,7817.84897350154,6615.63899086109,6603.43579017506,7998.42076500495,6588.95945500556,9741.09026758029,9502.48500611996,9469.46591295587,11934.8525000068
"Q8K2R5","Znf668","Zinc finger protein 668",11114.6667116468,10118.9757500517,12464.7043706771,10712.9989848023,11332.5560775671,11692.1270366822,9607.0010683341,9918.39600901475,7888.50575547638,12719.6188356777,8614.43023968073,11176.7900044044,8556.5321101936,12424.5821677123,9897.49607219815,9337.68966545937
"Q8K2T1","Nmral1","NmrA-like family domain-containing protein 1",6587.90699333011,7506.23585091364,6226.65194404939,7956.12719689836,7576.73138461699,7445.25701046044,9818.84072799563,7802.95349542676,2417.3912898672,6551.6722191475,9202.73188246514,6736.53146925154,6911.84562712925,7180.04541056531,8802.57248132744,7339.26558444553
"Q8K2T8","Paf1","RNA polymerase II-associated factor 1 homolog",149947.674286192,126273.569549726,126684.283430775,109735.48774168,107041.145026934,111174.726539311,127335.936208034,101593.896641596,128417.752709425,129587.337979698,136769.123448509,142155.510078129,148680.326640758,124713.592531643,144766.873575132,128793.207154906
"Q8K2U2","Alkbh6","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6",13008.5658339242,20801.918631472,11865.2510890568,19187.8199452025,16294.0459884236,15682.8405183503,21434.4297828031,13351.8511430792,13718.2578666296,14935.7339328514,15134.8200933896,17230.9973793849,16115.8139846556,10948.4947065021,14634.3832066779,13419.972128708
"Q8K2V1","Ppp4r1","Serine/threonine-protein phosphatase 4 regulatory subunit 1",52657.200635486,53625.8642416296,51617.2358694202,43375.6937983885,49063.6705909246,45620.5054139147,56830.3322740781,43057.8840924767,45097.717173643,56699.5958034017,49971.6159117899,47186.0118420045,58244.3417874648,44675.6082836205,65698.0305241425,46682.3202126999
"Q8K2W3","Txndc11","Thioredoxin domain-containing protein 11",13645.0567795591,14435.8918870095,15456.9333562445,13690.0509825192,13074.7945902484,15666.2974376348,16422.5169885708,13148.8172381109,15755.2912743187,15337.7711544686,15856.902985104,14560.7298079989,15236.9656475867,14433.529896465,18832.5254520551,15273.3774717849
"Q8K2X3","Obfc1","CST complex subunit STN1",217888.23005352,198845.823983619,225493.459011197,231512.080707511,192813.191480469,215579.414967895,222528.53259473,200085.833693034,214531.893695313,209682.052586469,195963.967574975,201885.064542396,181666.470170127,199245.335038556,180622.414957727,193345.109532243
"Q8K2X8","Gtf2h5","General transcription factor IIH subunit 5",244811.345641857,262410.032330189,217358.154181529,241955.724619207,219589.112486533,256180.053141942,231429.09387705,224592.215774021,271047.035949226,306493.536247809,267474.803038609,273116.504046001,234814.25722507,310727.938811703,287357.326008162,271556.319849418
"Q8K2Y0","Rnf219","RING finger protein 219",139168.068145039,136675.317158178,160258.969751553,145878.04993597,121477.293031729,130449.156949856,149493.942774833,126124.851517624,154592.261796386,163804.081424386,137932.759095583,138119.546469579,136018.764040314,146849.685910852,140570.635021943,135622.960931252
"Q8K2Y7","Mrpl47","39S ribosomal protein L47, mitochondrial",53304.3674753508,44954.7569835919,62804.7282691933,54937.3681635847,50200.3545413055,53399.3231729083,66883.7257752136,59033.9105070087,69930.8392541586,48855.0925929994,66635.6564362022,60548.1862000988,71434.4103492346,60362.0809160097,63224.3227983586,70159.4266528035
"Q8K2Y9","Ccm2","Cerebral cavernous malformations protein 2 homolog",42514.0967252691,47103.8681527291,40275.1211105843,39081.9872418158,41206.9830080649,50499.9306053919,51947.5138038697,39334.4984396306,28114.9178905584,28246.7464525415,30679.0070768105,26515.7220555751,29503.8552656922,35324.9542960407,43213.8126594562,36397.7070936608
"Q8K2Z2","Prpf39","Pre-mRNA-processing factor 39",10700.8347439796,9467.39551400959,9947.4513046246,8289.76565293937,6333.86299812428,10549.2613657746,6967.24426390217,8652.47012397172,8338.84542811795,7089.56323982512,8816.50149852485,9412.30024590229,10875.0742077786,8474.43283396509,12029.3307393793,8921.29725343371
"Q8K2Z4","Ncapd2","Condensin complex subunit 1",1485622.11805292,1534581.92947258,1550409.43688324,1680821.46290393,1583847.95322252,1542839.48766181,1462710.93022933,1520055.54921237,1476761.12167085,1596545.15109695,1404468.67005654,1550720.43149416,1193200.74115001,1321172.09638863,1011008.63885083,1194645.10048489
"Q8K301","Ddx52","Probable ATP-dependent RNA helicase DDX52",1529926.28913628,1436269.93588217,1250012.80561956,1243264.97281163,1249001.35238047,1255621.65475672,1321526.00593112,1205052.18375491,1665425.7359815,1620916.17689346,1542004.90862051,1421192.63247885,1448939.89202701,1473373.44142879,1259961.5800258,1311792.47459011
"Q8K310","Matr3","Matrin-3",3986604.4986288,3466171.49406176,2819628.46316969,3134017.00655702,3141285.89508444,3297455.4843104,2987039.12310809,2855176.52757648,4236894.29474471,3502512.06068893,3814184.66464389,3450058.78967203,3237885.71717713,3414733.78488983,3403203.57157264,2844289.03631109
"Q8K327","Champ1","Chromosome alignment-maintaining phosphoprotein 1",669463.997943881,586184.59849077,555222.590746367,630235.344852734,578007.735130097,672726.466950524,556687.601862912,585546.081777987,565635.154538182,690928.483927371,746463.358177409,669395.737974517,676641.725500395,699921.449669548,674586.452147336,639472.950059151
"Q8K330","Ssh3","Protein phosphatase Slingshot homolog 3",1288.10419387882,1606.09010135369,768.41903853179,1431.94122465827,767.053988059659,1636.89430238167,1096.22739625346,624.765685797563,697.442888105446,845.36254059939,687.527400359019,643.344125537709,1010.06093296401,801.861717775541,1274.07104516032,922.221362981371
"Q8K339","Kin","DNA/RNA-binding protein KIN17",137915.399794588,109969.311313568,124881.548982133,131972.437908878,127043.640534133,132288.050974659,126247.209543974,118363.07405713,132402.096678147,135618.51010124,129176.337879005,124611.03131937,108585.755825551,116959.792484712,104734.130561225,106120.879855533
"Q8K341","Atat1","Alpha-tubulin N-acetyltransferase 1",125761.131205071,112545.677134545,114263.325097898,116259.577481311,114370.075053195,124744.406168364,112232.836240964,96748.5019870931,118290.032651984,124372.720846183,116704.081833358,117407.072044048,99014.3965128844,112755.547745609,100270.473352834,105717.961311107
"Q8K354","Cbr3","Carbonyl reductase [NADPH] 3",238372.856026545,261170.273115086,244083.006365224,239574.833635386,203896.156680179,231432.213873386,223529.33327684,243138.793738937,167614.55862283,176476.437869125,306020.781940576,237075.925338391,252679.464654176,216496.401552662,314578.120404919,243605.330450422
"Q8K363","Ddx18","ATP-dependent RNA helicase DDX18",2098669.88334762,1842514.51476806,2020485.07106372,1816206.02043664,1763851.01062851,1989333.23100785,1872980.28498588,1768514.8748937,1924758.45963467,2018247.61932631,2104651.10485932,1915920.6499396,1796060.39898261,1831284.65778745,1643928.27872699,1818857.44829487
"Q8K368","Fanci","Fanconi anemia group I protein homolog",49861.842998202,51099.386088224,69382.5415894065,58849.1274943061,55889.5195926623,55690.1045077839,46882.8717850795,46229.1123994655,32034.3041422436,39666.6495374187,25118.0358869765,31617.9589575912,22215.9919512796,21388.4190721873,10340.0544086619,19768.6589285527
"Q8K370","Acad10","Acyl-CoA dehydrogenase family member 10",99077.0382803601,118255.956952897,93290.1489387373,86527.8392456426,89874.8495593262,82435.9125825499,91533.5836715599,99705.7762010474,154693.758229256,115213.842359826,98452.3638830976,112550.293681704,119922.360202981,138345.365081112,108300.046611654,119699.843621911
"Q8K371","Amotl2","Angiomotin-like protein 2",118142.278159319,136346.182426778,117983.276050468,137954.314635323,117137.030106598,128464.631573448,114342.848890875,118286.917367636,126123.222851547,127543.536240309,128264.684905124,139547.676820463,97967.0249634019,124961.235925213,101287.545952663,112384.03254773
"Q8K382","Dennd1a","DENN domain-containing protein 1A",16936.9789221424,14860.4438209671,16817.0374405933,17873.2825037487,16443.800515138,16767.7183379075,12054.4280261909,11188.686174258,13982.1485920901,13508.6552454317,16318.7001832935,19704.7933341712,10770.1515780893,14965.8208688497,11025.3835962128,11521.6538936342
"Q8K385","FRRS1","Ferric-chelate reductase 1",43030.8506330816,75071.3675687429,73659.0481938014,57644.2952273221,73115.9994266663,70984.617973548,78930.3762407822,79960.2545645971,55157.2214785528,53279.6503212854,71522.590301406,62804.5535658481,76094.2475504318,75602.3969333638,91132.7508521562,82714.5760945024
"Q8K387","Usp45","Ubiquitin carboxyl-terminal hydrolase 45",101467.039210618,100557.546742629,103440.555346007,100542.48281894,99038.6021861682,104760.53880166,98257.8780333114,91959.4634725674,95179.7008733505,112341.987163271,106179.583748075,106181.120475134,84278.3205003511,102349.970854434,77567.9420719557,86208.8988982968
