"Leading.razor.protein","Gene.names","Protein.names","S1","S2","S3","S4","S5","S6","S7","S8"
"Q6NZB1","Prmt6","Protein arginine N-methyltransferase 6",919.214222807496,1477.89361260575,1262.29898487618,851.486422938242,631.572297180181,1025.53229442104,990.224945038849,1042.53078183756
"Q6NZC7","Sec23ip","SEC23-interacting protein",287539.172400174,313767.312540617,369776.398420028,312289.228812458,342650.215735581,301547.134974297,261134.203649898,284765.016687665
"Q6NZF1","Zc3h11a","Zinc finger CCCH domain-containing protein 11A",215612.420883529,197740.733741501,154656.822956172,168657.285343107,217899.277073902,186512.253679128,206914.88019606,168929.468691032
"Q6NZJ6","Eif4g1","Eukaryotic translation initiation factor 4 gamma 1",2127746.10719176,1947277.91475792,1954560.73228381,1983176.47188926,1939616.22712803,2069786.41831994,2041381.53850806,2022049.23319516
"Q6NZL0","Soga3","Protein SOGA3",162248.64840701,168991.937179735,153966.000963726,142180.233120615,164403.689310365,152154.085495968,149068.503703571,134410.275660222
"Q6NZM9","Hdac4","Histone deacetylase 4",58572.0930080175,47213.130033592,46892.4452441822,50187.0376883127,57280.6371204076,54731.3538460251,47451.8663879848,57413.3371831697
"Q6NZN0","Rbm26","RNA-binding protein 26",168434.005943841,152749.133217881,128039.643228728,132455.560899459,158040.485581777,133674.477750853,144441.897513876,127218.084894669
"Q6NZQ2","Ddx31","",9172.27696003816,10470.8855819975,8392.57969951135,8347.21108565985,9170.8441263177,9840.91632464533,9325.44617972762,7826.87727045114
"Q6NZQ4","Paxip1","PAX-interacting protein 1",25569.5704707315,22962.0224774783,21536.8547182666,22802.0123741414,19307.8094635128,19434.4650215767,20956.2655592577,18530.4052355044
"Q6P069","Sri","Sorcin",1012342.04239388,967569.665558101,1018113.43657665,912347.969857495,867501.796307483,910004.926667056,835075.904528122,813563.70262997
"Q6P073","Ube2j2","Ubiquitin-conjugating enzyme E2 J2",3007.17457033708,3959.06597907294,2962.43289759359,3042.53923663794,3199.25562747747,3969.22732364618,4401.64371472258,4379.22407798636
"Q6P0X2-2","Znf511","Zinc finger protein 511",2927.156528058,2294.33491059867,2416.10251519236,2788.78860096832,2587.49921738639,2841.18231864098,1992.22514026025,1607.58533701412
"Q6P1B1","Xpnpep1","Xaa-Pro aminopeptidase 1",1282830.40966196,1230154.92669554,1295184.69735595,1219988.03284047,1223007.75147654,1201997.5933829,1167598.15117224,1352146.93888218
"Q6P1C6","Lrig3","Leucine-rich repeats and immunoglobulin-like domains protein 3",3063.8926954328,2807.02269899525,2740.37210741937,3047.87096205668,3149.90934032285,3114.48201543552,3171.03807650401,2289.54773119274
"Q6P1F6","Ppp2r2a","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",1475195.82552467,1470439.41018821,1671375.11383504,1386235.18082299,1519410.35178956,1388395.88777408,1334662.14416964,1437148.57760585
"Q6P1G0","Heatr6","HEAT repeat-containing protein 6",101029.833332333,93274.1130461535,87092.3433039494,96318.6070460829,86687.2416223408,96793.1698947249,90862.7980922298,86112.9810493409
"Q6P1H6","Ankle2","Ankyrin repeat and LEM domain-containing protein 2",125556.495796804,116765.733087324,109207.164462395,113701.216739044,118122.434162778,120824.094160834,111310.15205766,106969.34978238
"Q6P2B1","Tnpo3","Transportin-3",204784.643034854,210875.064543914,229472.652082604,210767.647642933,207598.471747057,205102.234793267,215671.388604272,201308.315056407
"Q6P2K6","Smek1","Serine/threonine-protein phosphatase 4 regulatory subunit 3A",27569.1860725105,37108.4500147349,33233.4759008039,28069.9545591675,27492.4155998692,26375.9531692946,22519.2460327072,24247.6087656484
"Q6P2L6","Whsc1l1","Histone-lysine N-methyltransferase NSD3",106104.016890406,96572.0379334718,94001.9827951055,89997.1554125762,111523.898506564,98104.2588404668,122314.307341538,93537.6543333306
"Q6P2L7","Casc4","Protein CASC4",210634.964471692,202207.404202287,180415.266230655,217313.229215338,191209.125501432,224994.127331825,221460.717954766,216880.449466553
"Q6P3B9","Rbfa","Putative ribosome-binding factor A, mitochondrial",19758.0512864144,20362.7929068032,15779.4977931104,19634.276325819,18391.4643854969,20724.281566901,20183.6987543119,17215.7048004112
"Q6P3E7","Hdac10","Histone deacetylase 10",45562.9416378622,36728.4469048813,44410.1300824219,44622.5923286111,42499.7047347709,47314.8833861243,40198.680252102,46430.871216287
"Q6P3Y5","Znf280c","Zinc finger protein 280C",5171.1891893739,3936.24296947212,4168.76039563134,4537.89074528249,5102.61241772714,6575.90675196864,5169.51881842373,4339.22929095934
"Q6P4S6","Sik3","Serine/threonine-protein kinase SIK3",57809.3224124175,49577.0751234731,48100.2937065362,47597.5963766117,48911.4810282414,52825.7823463254,42552.4423706234,55500.8685081266
"Q6P4S8","Ints1","Integrator complex subunit 1",119737.69886943,118979.046313839,103077.272677376,107570.423657085,110124.922668817,99715.795117822,114592.40185249,113913.460062556
"Q6P4T0","Atg2a","Autophagy-related protein 2 homolog A",8567.87153860076,6458.08178940987,6818.17883693825,6003.02914322084,7292.50435621088,6494.46384751244,6601.95960430258,6116.22844379047
"Q6P4T2","Snrnp200","U5 small nuclear ribonucleoprotein 200 kDa helicase",2412571.15485648,2265762.12093731,2249674.23960929,2339843.3101209,2264035.52584965,2276127.69952954,2255880.51696837,2097844.58469889
"Q6P542","Abcf1","ATP-binding cassette sub-family F member 1",439700.627577189,387673.404675704,323056.572485979,358974.310257218,395261.009095991,383371.706812843,443273.037520451,323811.64012008
"Q6P549","Inppl1","Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",867588.122879736,891285.353578036,875167.724523071,874081.880320236,860637.934090215,884036.998397201,829198.923159082,836068.871840808
"Q6P5B0","Rrp12","RRP12-like protein",501932.385665033,438600.564558019,401020.392156589,436136.620287706,425403.595417315,435597.475781102,444254.063051285,356983.213929551
"Q6P5C5","Smug1","Single-strand selective monofunctional uracil DNA glycosylase",10078.8386780166,9644.58889349509,7340.27518790037,7874.3660295424,6513.02215127891,10290.5743506168,9903.72135666131,9400.00556018045
"Q6P5D3","Dhx57","Putative ATP-dependent RNA helicase DHX57",54028.7948139749,47201.926010697,43596.616968464,43247.3033775441,47110.7971835471,52632.5479128171,52486.4298000195,45261.7518059721
"Q6P5D8","Smchd1","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",893897.052634858,913569.698655895,914560.132487572,897690.661738757,852315.519420219,850609.315397453,849466.373380317,863485.011205767
"Q6P5E4","Uggt1","UDP-glucose:glycoprotein glucosyltransferase 1",1414874.75347422,1467899.5204425,1542210.86959087,1591364.82504258,1491203.87650135,1600670.43651903,1585506.06707797,1622951.50852616
"Q6P5E8","Dgkq","Diacylglycerol kinase theta",2640.31691014346,2323.27863641062,2312.87973692873,3497.31566772522,3084.2289163052,2755.78882553579,3362.01791540225,3022.1701889389
"Q6P5F6","Slc39a10","Zinc transporter ZIP10",149370.663502911,147255.614058774,160595.478827826,160497.079589726,162391.495587123,161576.340720965,157912.820520371,167681.528785053
"Q6P5F7","Ttyh3","Protein tweety homolog 3",17262.9179239792,22419.6647766007,20063.5472839144,21565.4470196175,22686.5686582008,22503.7685104109,18708.4806923793,24558.8502493074
"Q6P5F9","Xpo1","Exportin-1",970862.805762912,869755.018492817,950854.467956756,922489.80022484,896066.848884405,928663.151667678,954394.790610331,938068.397601696
"Q6P5G6","Ubxn7","UBX domain-containing protein 7",40819.2270247008,38381.8702095079,29841.421282677,34752.2850149981,30020.080294852,30255.5325197521,28044.6901867269,30450.8002335387
"Q6P5H2","Nes","Nestin",190830.313350911,185676.387125556,166219.092290773,165257.915446037,163996.711395052,169120.030265078,166606.082955923,164578.85626838
"Q6P6J0","Adat2","tRNA-specific adenosine deaminase 2",5304.76919266808,2892.29776214013,2252.04116427826,5680.26228407531,3499.2019617675,4995.97518380537,5310.72982647229,3708.95246770795
"Q6P6J9","Txndc15","Thioredoxin domain-containing protein 15",21595.3100947525,20009.9699265651,16354.2195094152,17101.0156023265,22278.5591131907,19733.595490307,19523.8247733788,15715.9002868981
"Q6P6L0","Filip1l","Filamin A-interacting protein 1-like",529507.327095573,509594.430293947,486727.725074626,501446.109769714,479015.697158171,490118.577273284,463873.754920095,476759.058599159
"Q6P6M7","Sepsecs","O-phosphoseryl-tRNA(Sec) selenium transferase",3350.08251486016,2317.46914305769,2777.88922722049,2650.1637400811,2502.73364398141,2700.58188159471,1963.79895036644,2705.69861774564
"Q6P7W0","Senp6","Sentrin-specific protease 6",6198.14928419221,7918.13195814588,8494.48430870088,10140.1518611948,10339.5086342967,7763.41318099845,11961.9982909143,14948.8207818671
"Q6P8I4","Pcnp","PEST proteolytic signal-containing nuclear protein",173001.420944593,153139.178451959,147612.223231353,144330.596970518,146351.287218488,134932.659197842,112644.711076397,117025.054493258
"Q6P8J2","Sat2","Diamine acetyltransferase 2",23285.0646464995,19390.2214749502,27594.3486018318,24687.8634018806,23556.4044307277,24122.9020736296,25796.9973139905,24877.7830381638
"Q6P8M1","Tatdn1","Putative deoxyribonuclease TATDN1",204124.076458453,182508.034688198,162969.298535027,177450.090443855,181684.604327459,188104.847390397,158138.114174254,152799.673633772
"Q6P8X1","Snx6","Sorting nexin-6;Sorting nexin-6, N-terminally processed",951357.897401434,943623.452662064,917310.005552087,888635.614735932,961813.641079203,906781.752815201,831379.671894648,912249.198807358
"Q6P9J9","Ano6","Anoctamin-6",817653.392717106,897038.681579163,864275.703603598,838822.78518349,796802.14993925,813340.404146285,831970.734257326,814361.055112259
"Q6P9L6","Kif15","Kinesin-like protein KIF15",24052.6623165757,28564.6563706684,26024.6120298286,26003.7134880943,21495.6381426033,26372.2051749353,27072.6800818142,21516.580116119
"Q6P9N1","Fam126a","Hyccin",16625.4099110374,21410.5765293863,17978.0010134563,16011.842834934,19086.0950478825,18284.7930761469,17573.8893402195,19601.9578756206
"Q6P9P6","Kif11","Kinesin-like protein KIF11",20256.0754126641,17143.1924387968,19456.1755336205,18126.8790671543,15950.7144924537,17254.9556530699,13340.9904802614,15429.783733551
"Q6P9Q4","Fhod1","FH1/FH2 domain-containing protein 1",132214.498187541,124321.601638533,123355.478725126,133714.736719184,123591.816728394,146402.737503046,146714.097626055,136095.081701419
"Q6P9Q6","Fkbp15","FK506-binding protein 15",44724.7015893935,37987.5508481774,39883.7402772269,41379.520974835,35730.3226038838,40710.6134335988,36953.4948971047,34824.8967747267
"Q6P9R1","Ddx51","ATP-dependent RNA helicase DDX51",61052.745147024,61025.7191849602,60059.9403181657,58158.6583389191,61685.6099558007,60558.3708061472,60656.3375614423,59450.4050024124
"Q6P9R2","Stk39;Oxsr1","STE20/SPS1-related proline-alanine-rich protein kinase;Serine/threonine-protein kinase OSR1",524550.757063681,577015.47836601,585170.741157498,546004.22771502,542146.336620759,549871.291367613,549674.198169976,581452.417857641
"Q6P9R4","Arhgef18","Rho guanine nucleotide exchange factor 18",176718.082634581,176156.598598196,178544.175928789,171948.14475434,167511.559740551,174432.366561952,164868.313612576,164805.288293395
"Q6P9S7","Galnt10","Polypeptide N-acetylgalactosaminyltransferase 10",2133.84540356038,3573.46085777184,2677.50558234721,3197.35674509318,3144.83716098117,2899.22558263774,2564.1527213924,2759.64030486413
"Q6P9Z1","Smarcd3","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3",19687.4089080219,22679.1208993809,18414.385955316,19979.633903035,21253.0332256167,21927.1649025184,21560.1519053384,19305.2068109537
"Q6PA06","Atl1;Atl2","Atlastin-1;Atlastin-2",173703.296139108,159337.700377636,158707.191489425,154126.990772122,176839.039642471,134941.461919729,146849.604997296,133584.947337162
"Q6PAC3","Dcaf13","DDB1- and CUL4-associated factor 13",83747.8855955148,95810.0606356627,103217.91117782,98138.1077130556,78304.7345225177,84870.3946492043,84663.7728301113,81628.0271625728
"Q6PAJ1","Bcr;Abr","Breakpoint cluster region protein;Active breakpoint cluster region-related protein",126385.991414202,130507.363427024,140135.568243094,132257.003495439,125347.306595462,129445.76766097,132488.767458256,131407.282458909
"Q6PAJ3","Gareml","GRB2-associated and regulator of MAPK protein-like",9587.31253663878,6234.00133151092,4127.89715433444,5990.1935079535,5126.59780817338,7165.25354068274,6685.398291143,6891.20435549089
"Q6PAL0","Bend3","BEN domain-containing protein 3",5697.52596399379,6904.47910901134,7919.96538763827,5081.49964598531,6036.83907715095,5949.18131680635,5727.00331925386,5947.22483091733
"Q6PAL7","Ahdc1","AT-hook DNA-binding motif-containing protein 1",30815.0223443551,27457.7404050287,24377.6104705593,26007.2679717068,26811.8838766706,26903.7518128003,25266.7430792076,19660.0015921777
"Q6PAL8","Dennd5a","DENN domain-containing protein 5A",2783.73671910073,4056.37499273461,4678.02994752632,4537.10086003526,3622.30977222989,3945.20977060319,4551.13419555574,3224.2669243085
"Q6PAM0","Prkab2","5-AMP-activated protein kinase subunit beta-2",19666.1512146554,24629.6582926291,23848.3148885002,24199.6155834424,23024.0835072758,21843.4124231597,21745.5752980568,22905.83493626
"Q6PAM1","Txlna","Alpha-taxilin",443534.809965002,387410.110137673,317236.856023856,381075.694417074,350818.315796792,379943.304945529,393665.527598266,346424.097910887
"Q6PAQ4","Rexo4","RNA exonuclease 4",438071.861254882,354417.478681588,302681.024721989,321082.42885583,308390.223356794,313225.9664356,292187.19427584,243599.01821532
"Q6PAR5","Gapvd1","GTPase-activating protein and VPS9 domain-containing protein 1",222588.843098658,230674.855300246,255265.469150634,233059.492883025,251970.137341644,239036.241441814,252867.426056895,262756.828853468
"Q6PAT0","Adat3","Probable inactive tRNA-specific adenosine deaminase-like protein 3",56877.6042101495,62895.7535988891,54915.2278195998,52131.1427530345,49395.9773183412,53305.900423752,48754.3194511454,50950.1795996039
"Q6PAV2","Herc4","Probable E3 ubiquitin-protein ligase HERC4",1095796.49755826,948755.932557477,810290.089174097,931648.223459395,898877.523992825,925860.867452658,864507.314412128,816157.41584404
"Q6PB44","Ptpn23","Tyrosine-protein phosphatase non-receptor type 23",544041.286312921,534553.030399495,521365.010480291,549498.838025774,512565.197567987,539772.978997914,542183.271572791,536501.897280255
"Q6PB66","Lrpprc","Leucine-rich PPR motif-containing protein, mitochondrial",1784533.69494609,1780133.95666556,1744429.463488,1816663.24118764,1836449.75852275,1847991.56884351,1880543.79183941,1889802.39862611
"Q6PB70","Ano8","Anoctamin-8",23742.7084381884,22113.4214841388,20416.4110052871,25187.4658207476,26990.011937619,23708.5967512094,25231.2333403758,22480.1468312622
"Q6PB93","Galnt2","Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form",394052.747994217,371940.985453096,358478.107652158,372017.290401948,378904.090410496,408605.838565433,420959.122412802,359584.003144403
"Q6PCL9","Papolg","Poly(A) polymerase gamma",10528.6848878593,11235.5601445776,10460.4827839008,11178.6534899781,8773.15087827366,9600.74079421543,10098.7489378098,10129.2438436397
"Q6PCM1","Kdm3a","Lysine-specific demethylase 3A",41260.3473691441,45692.4951484611,44764.0077800055,42728.0525631524,43553.3425315776,39301.0636630665,35879.4632886573,44698.8918365453
"Q6PCM2","Ints6","Integrator complex subunit 6",169030.40956105,139464.772249629,145286.465996546,151495.744783712,142317.787043017,156969.042681934,146948.130723433,133744.003528646
"Q6PCN7","Hltf","Helicase-like transcription factor",4007.02878540424,3709.98395156582,2703.26057810258,3719.07595088241,3481.14844207678,3874.41319607031,3580.13602620558,2422.76113721349
"Q6PCP5-2","Mff","Mitochondrial fission factor",116908.030680121,96622.2485545936,73786.0348867017,87364.2704122781,82612.906104712,80019.6795711081,97532.1894026559,86925.0803274612
"Q6PD03","Ppp2r5a","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",211333.961987192,199532.236254213,194655.041147603,193720.344237417,214604.767637771,208924.348273454,211289.385638878,201817.797367763
"Q6PD10","Ip6k1","Inositol hexakisphosphate kinase 1",46429.0301929246,45001.7878851781,46290.0419773215,45997.980015334,44374.6917083637,50652.6243088004,49168.1091020916,46087.3262507985
"Q6PD19","","UPF0668 protein C10orf76 homolog",58261.9534729196,45465.6136848384,51102.8800620791,50402.6763608039,52969.5425874062,58487.1480854808,64578.4158136521,56930.7334197104
"Q6PD21","Shb","SH2 domain-containing adapter protein B",9574.29800122402,8748.2670618993,9077.21643707131,9082.39677951044,8697.24012643127,8741.3763361998,8748.27493249855,5725.51013975731
"Q6PD26","Pigs","GPI transamidase component PIG-S",382699.840139541,377144.631642083,419065.923985687,388375.616400576,381521.163012518,369312.676079664,385030.902228858,382561.315943632
"Q6PD28","Ppp2r5b","",148405.248607665,133001.39967163,158117.320968531,141743.327843247,155319.33014028,148330.624763755,143979.571753584,143491.450982282
"Q6PDG5","Smarcc2","SWI/SNF complex subunit SMARCC2",387725.474467785,386102.662910404,402082.735032687,367500.232880061,359444.803319864,364510.786225384,368471.128712368,375742.61495847
"Q6PDG8","Mon1a","Vacuolar fusion protein MON1 homolog A",7406.58881364577,9715.65144611583,9545.77484410102,7279.58243838527,7102.51255375145,9559.7154505528,8604.21210604641,10638.6133491864
"Q6PDH0","Phldb1","Pleckstrin homology-like domain family B member 1",97249.0272488245,80184.3908534148,85246.9066002184,80528.2085402072,83723.1975656909,75118.6198120234,76159.0983857643,75578.5592478967
"Q6PDI5","Ecm29","Proteasome-associated protein ECM29 homolog",623633.979785118,604642.212783037,596340.723375649,635572.564300446,577402.453440766,620645.074042901,623472.772867779,583145.633059188
"Q6PDI6","Fam63b","Protein FAM63B",13177.9133201127,10686.3555408197,12042.9954561607,13992.8171545134,15354.9483426601,14696.1897742596,13381.4679027639,14412.4804327612
"Q6PDK2","Kmt2d","Histone-lysine N-methyltransferase 2D",60894.1943161509,46460.0952059082,36458.9342274897,41683.2318523914,37730.0508016253,43624.628399384,40961.8636545585,34162.9317740616
"Q6PDL0","Dync1li2","Cytoplasmic dynein 1 light intermediate chain 2",525545.691375916,566032.631182285,558019.702955046,550253.217931132,574644.649354297,555188.78368916,543036.6368327,571579.550853918
"Q6PDM2","Srsf1","Serine/arginine-rich splicing factor 1",1064972.47086343,1064859.90210733,1033185.58456508,1033393.5396252,984968.741557948,948901.105642173,1028946.47535204,976987.529959158
"Q6PDN3","Mylk","Myosin light chain kinase, smooth muscle;Myosin light chain kinase, smooth muscle, deglutamylated form",1503594.20088101,1623369.13565661,1485215.94614355,1447102.79998508,1687834.12149242,1542934.7714323,1686265.53977558,1486300.18137778
"Q6PDQ2","Chd4;Chd5","Chromodomain-helicase-DNA-binding protein 4;Chromodomain-helicase-DNA-binding protein 5",1137745.35283875,1022868.4691885,1063020.5975181,1030833.12659633,1007102.77794756,1060023.37458795,1131175.6096654,906560.360810782
"Q6PDS3","Sarm1","Sterile alpha and TIR motif-containing protein 1",5591.60881058262,4294.14925639405,5138.22305081658,5174.0445762628,5011.57109700111,5682.36463728195,4906.32357801532,4109.31054092198
"Q6PDY0","Ccdc85b","Coiled-coil domain-containing protein 85B",85386.9558652615,73211.0277517901,64814.1705779368,60635.1460602676,63546.4979902065,57352.7213603503,48126.6434199302,54758.6062811995
"Q6PDY2","Ado","2-aminoethanethiol dioxygenase",44630.2951520411,38491.2131736863,37542.3678087735,33651.5799229961,32970.7991345873,37662.8862366168,33057.9109578057,37262.9379715992
"Q6PE01","Snrnp40","U5 small nuclear ribonucleoprotein 40 kDa protein",131803.732715285,126538.130834583,115835.831145527,120956.510206077,113945.993095927,129356.859156938,119869.65501067,117583.750902804
"Q6PE15-2","Abhd10","Mycophenolic acid acyl-glucuronide esterase, mitochondrial",69808.9654185531,75632.1341066261,76722.0030051923,64182.4219698795,80190.7255462077,62586.8461316886,62617.3766875472,72776.8731412862
"Q6PE54","Dhx40","Probable ATP-dependent RNA helicase DHX40",17060.9234228199,15121.2812700698,14575.9080308419,13741.0412319618,14666.3355201714,14782.2923473787,14721.8225524496,10359.6753473569
"Q6PEB6","Mob4","MOB-like protein phocein",92008.680934743,74452.8069559801,73360.1648781484,73337.8831347579,77955.0980245075,81712.354861485,80505.9135918244,75787.044894117
"Q6PEE2","Ctif","CBP80/20-dependent translation initiation factor",28374.2863981328,27315.5115588345,23847.4023099104,32333.3601810408,29848.3139503661,34695.892864077,35306.0638012523,33338.6289583612
"Q6PEE3","Rrm2b;Rrm2","Ribonucleoside-diphosphate reductase subunit M2 B;Ribonucleoside-diphosphate reductase subunit M2",2156.03138047998,1751.56224591011,2495.09126201689,1878.74206051425,1539.27747648692,2084.39134949641,1492.69694892237,2329.74761969169
"Q6PER3","Mapre3","Microtubule-associated protein RP/EB family member 3",24459.3433411982,24522.2864065525,24188.9094977217,20250.7817612746,23601.1083842476,22151.5583377813,21305.1993400578,25769.7693396023
"Q6PEV3","Wipf2","WAS/WASL-interacting protein family member 2",87650.3896528376,77466.4816328155,60301.1652587249,64788.3626901536,68625.7268014771,72784.0245147574,74521.6946513954,57144.3466027291
"Q6PF93","Pik3c3","Phosphatidylinositol 3-kinase catalytic subunit type 3",146546.082307473,171352.251336271,144451.659382161,166563.497024037,160250.176213522,151802.685700497,157692.12657359,161100.335304389
"Q6PFD9","Nup98","Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96",315936.9443722,320617.742613255,298591.334191279,311053.996389289,278710.907544561,303066.875778993,294450.038583772,304727.378869767
"Q6PFR5","Tra2a","Transformer-2 protein homolog alpha",14364.6681457654,15876.6087728089,20291.3877384904,11409.6949247901,16065.2253887776,15235.3742168459,12009.4672682127,14442.9380013433
"Q6PFX9","Tnks","Tankyrase-1",57068.1808236053,65072.4462690909,66639.7333479352,50728.5040252824,54112.4163529698,63111.9705305703,59317.3628238875,49893.4968162029
"Q6PFY1","Fchsd1","F-BAR and double SH3 domains protein 1",39692.4764479219,40601.0966703293,39538.9883655409,44666.0360172082,38178.8956887931,40570.5194822767,43001.7417604013,38037.0934774119
"Q6PG16","Hjurp","Holliday junction recognition protein",2855.77152282296,2070.87689841611,2856.57378118177,3428.29944424931,2599.36295889743,2520.98204378273,1866.56114221834,2116.03188593707
"Q6PGB6","Naa50","N-alpha-acetyltransferase 50",164148.566355184,143658.707745685,154310.043092064,151128.744350722,152310.238253545,155696.041462654,157550.731577257,137786.040786774
"Q6PGC1","Dhx29","ATP-dependent RNA helicase Dhx29",159334.951990473,154323.796391195,157779.66689032,162355.975783404,155960.745904149,171547.525173882,166095.331479255,156122.112377622
"Q6PGF7","Exoc8","Exocyst complex component 8",369982.726775197,360265.044964176,316936.0092821,329951.852825558,331498.986468334,342537.713456821,291671.751097927,321001.955056064
"Q6PGG2","Gmip","GEM-interacting protein",123379.002500575,123229.728111039,109229.978927139,116111.847777905,112220.076613495,134968.923575697,106453.781298779,107265.506052778
"Q6PGG6","Gnl3l","Guanine nucleotide-binding protein-like 3-like protein",25304.0813745388,27085.7253485353,22922.35181276,25691.0176658508,26523.1994999019,25997.9122247293,27428.0534525579,27435.3983931736
"Q6PGH1","Bud31","Protein BUD31 homolog",88880.5510174342,69081.1004235692,73093.1849418339,81743.9406713356,73317.8365690939,83232.5211141891,71074.0301897436,65303.0780547685
"Q6PGH2","Hn1l","Hematological and neurological expressed 1-like protein",360973.270750377,361161.470536724,297157.997699158,327661.38307993,348261.335624597,334641.813740079,317060.487608909,315300.339237787
"Q6PGL7","Fam21","WASH complex subunit FAM21",983742.647234117,1135602.8288527,1187074.72613202,1025710.32582548,1111027.70070579,1099755.65006691,1137761.47029484,1269561.29294715
"Q6PH08","Erc2","ERC protein 2",50671.2860306898,45743.5356972047,39492.3454598422,48185.9621501351,40383.144473888,46475.1300553508,50496.5045133105,40505.4896921306
"Q6PHN9","Rab43;Rab26;Rab37;Rab3b;Rab35","Ras-related protein Rab-43;Ras-related protein Rab-26;Ras-related protein Rab-37;Ras-related protein Rab-3B;Ras-related protein Rab-35",46923.8053267383,40631.1815466213,50087.3828869217,51846.0929144437,43852.8590201606,47018.0827517255,51316.1723189865,54499.5631221476
"Q6PHQ8","Naa35","N-alpha-acetyltransferase 35, NatC auxiliary subunit",133237.28100637,137419.830589395,142535.345741292,159622.479149741,147137.990831297,131483.694010125,142346.123767323,146732.977195454
"Q6PHS6","Snx13","Sorting nexin-13",8565.55082971795,8284.85622604995,10228.9920149658,9110.43770578678,10005.9483657253,10623.0315800014,11267.4425184279,8373.78034536159
"Q6PHU5","Sort1","Sortilin",2178.68149917614,3121.04656291197,2694.94597317368,2790.76331408637,2067.72978857656,2365.28833215441,1721.57837434569,2053.78358920527
"Q6PHZ2","Camk2d;Camk2a;Camk2b","Calcium/calmodulin-dependent protein kinase type II subunit delta;Calcium/calmodulin-dependent protein kinase type II subunit alpha;Calcium/calmodulin-dependent protein kinase type II subunit beta",390626.267742935,341593.955773557,380086.346295667,355163.80508897,371218.19126331,388488.428193304,352946.841258806,376137.025088997
"Q6PHZ5","Rbm15b","Putative RNA-binding protein 15B",52031.3142643681,51814.8712148334,54591.4652154782,50832.275199636,52489.3189636332,53066.8391619154,50928.8769809511,46995.1053655758
"Q6PIJ4","Nfrkb","Nuclear factor related to kappa-B-binding protein",5581.67617656422,5292.75966738261,4749.9715596855,5399.45807868838,6303.60132286661,5732.81061541527,5406.77171077372,4938.94599489266
"Q6PIP5","Nudcd1","NudC domain-containing protein 1",384372.885587332,379260.272761602,328208.149603493,330484.344091406,380406.306590132,404483.206845632,359795.418759119,341473.30730599
"Q6PIU9","","Uncharacterized protein FLJ45252 homolog",51916.9497306235,44641.1843334852,44228.5269430603,41273.5776160516,47854.2067367542,44305.0413213147,43805.1266029342,43841.8753360715
"Q6PIX5","Rhbdf1","Inactive rhomboid protein 1",35294.2689732323,28306.7563621792,38178.232290592,29912.954312245,37933.0239444338,29640.5575533919,30204.4366596623,26619.0945348786
"Q6PNC0","Dmxl1","DmX-like protein 1",166977.324826611,160473.767550993,147085.462589821,163857.843845338,155745.994988971,162309.225563926,173448.515247547,161547.251411732
"Q6PR54","Rif1","Telomere-associated protein RIF1",24621.8857913498,28157.3693902465,21845.1034863623,20992.7802153825,26372.8394716207,22296.8184434905,24384.887233505,19619.9042544147
"Q6Q477","Atp2b4","Calcium-transporting ATPase",31276.6577553225,31855.7343551065,32754.4735388026,36809.6398770401,34058.3947422408,34018.6201536366,37644.9228687614,34916.474581945
"Q6Q899","Ddx58","Probable ATP-dependent RNA helicase DDX58",210352.394958122,236606.244272641,253971.635505601,241748.921752044,256120.641518539,248213.762764863,258945.6630105,249794.313276541
"Q6QD59","Bnip1","Vesicle transport protein SEC20",105272.274826809,112902.627489527,113253.74072462,121179.554052761,108881.980822682,116823.566019431,118458.832848173,112766.63518224
"Q6QI06","Rictor","Rapamycin-insensitive companion of mTOR",234250.962204879,184765.749042483,200313.636789823,195092.078704872,213494.820053358,205398.599849943,201519.423764759,178627.179037724
"Q6R891","Ppp1r9b","Neurabin-2",63178.3288269616,55778.9167596375,43905.2713270441,54943.8253827312,64221.6136574978,58789.8239542807,50955.2792997197,50942.8984973503
"Q6RHR9","Magi1","Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",78492.2226028069,70921.9836297807,72995.73168821,75214.3246544896,69610.5892851762,79970.0439701335,83429.4874262107,72761.2854294193
"Q6RI63","Fam120b","Constitutive coactivator of peroxisome proliferator-activated receptor gamma",39215.3387016175,36241.7980956202,35150.2965297781,37249.0135458066,39218.26260813,34656.4882747319,40406.5870131377,36237.5331626681
"Q6RUT7","Ccsmst1","Protein CCSMST1",1124.05855447482,1390.95869421717,2538.28664859872,3115.80109331765,2222.4742430684,2567.17354183251,2216.87483514922,1527.80086443203
"Q6S5J6","Krit1","Krev interaction trapped protein 1",181435.972399295,174486.161777322,180202.229828757,188925.049637197,193726.044053742,194728.262503299,207520.477633183,193681.329680502
